"meanImp","medianImp","minImp","maxImp","normHits","decision","V7"
8.85700942146336,8.78435440787882,7.17869415231187,11.4423589292317,1,"Confirmed","MainPKD_PrzetworstwoPrzemyslowe"
9.07906126515405,9.07818180879967,7.40075835988438,10.7810699491735,1,"Confirmed","VirtualAccountsPresence_BrakDanych"
9.10091799105299,9.1724616414857,7.71736066013661,10.0690077413273,1,"Confirmed","PhoneNotPresent_BrakDanych"
9.26980123804684,9.28106304822916,7.61775725118296,10.9714894984789,1,"Confirmed","CAACEksport_NIE"
9.42711273727021,9.46222394590798,7.53477291981563,11.0068678893826,1,"Confirmed","`SpecialLegalForm_SPÓ£KI JAWNE`"
9.72159216880567,9.71235570239363,8.17797715609924,11.9874040437311,1,"Confirmed","NoMail_TAK"
9.72915003984292,9.60444454908403,7.64496689464284,11.7407554433575,1,"Confirmed","CAACImport_NIE"
9.76814749300144,9.96254509618633,6.97547655583271,12.4396499072115,1,"Confirmed","VirtualAccountsPresence_TAK"
9.79050496067375,9.81903367146208,6.95347142279159,12.1001102048992,1,"Confirmed","VirtualAccountsPresence_NIE"
9.91328928952615,9.9053112774624,8.1683791674989,11.312612857081,1,"Confirmed","NoWebsite_NIE"
9.92937582107007,9.99302685850938,8.65823657298899,11.8036972221197,1,"Confirmed","NoMail_NIE"
9.95744466915208,9.9829685908463,8.02734873445872,11.4699219044814,1,"Confirmed","NoWebsite_TAK"
10.0501643858114,10.197922198533,6.66587464690931,13.2225546070747,1,"Confirmed","DescriptionNull_NIE"
10.1306516477652,10.1845102719378,6.81173721974875,13.2010744599162,1,"Confirmed","DescriptionNull_TAK"
10.600246545767,10.6784243296717,9.01631567143181,11.8830036736179,1,"Confirmed","RodzajRejestru_Other"
10.6631012478359,10.6726835256605,7.746503000676,13.2127365441527,1,"Confirmed","PhoneNotPresent_NIE"
10.9167419331838,10.8924150127603,9.60531642228883,12.4570787340373,1,"Confirmed","LegalForm_Other"
10.9961923299144,11.0823385107,8.92588603307372,14.0653484470625,1,"Confirmed","`EMISLegalForm_PL-SA`"
11.0943563612385,11.1407922554896,7.24708272847202,14.0235484293673,1,"Confirmed","FormaWlasnosci_Other"
11.1778105342326,11.1196022235039,9.69451570614024,13.8295974385088,1,"Confirmed","SpecialLegalForm_SPÓ£DZIELNIE"
11.2794193002167,11.3096352491694,9.36097925342308,13.3171956121647,1,"Confirmed","PhoneNotPresent_TAK"
11.4383623862228,11.38745265836,8.27501744378808,13.7396350860306,1,"Confirmed","`FormaWlasnosci_W£ASNOŒÆ ZAGRANICZNA`"
11.4599485466496,11.2850501240059,9.03428584640543,14.7231823136432,1,"Confirmed","`EMISLegalForm_PL-SJ`"
11.5879012568668,11.5541542959468,9.44918744385731,14.3576616037228,1,"Confirmed","`LegalForm_JEDNOSTKA ORGANIZACYJNA NIEMAJ¥CA OSOBOWOŒCI PRAWNEJ`"
11.7028022487287,11.6428435112798,9.49853463504377,13.5181881889912,1,"Confirmed","`SpecialLegalForm_SPÓ£KI AKCYJNE`"
11.7076080687147,11.5938760498871,9.8244280347011,14.7867480706799,1,"Confirmed","`EMISLegalForm_PL-S-NIA`"
11.7579263895072,11.7641129551506,9.25183957888672,14.1492611055498,1,"Confirmed","NoFax_NIE"
11.8906312762911,11.8506825508313,10.3822617494709,14.3173944910038,1,"Confirmed","NoFax_TAK"
